GEL,Xconc,EDC,Visc
15,100,1,24.73966667
20,100,1,20.14833333
25,100,1,29.97333333
15,150,1,17.004
15,200,1,20.34333333
20,150,1,21.33666667
20,200,1,21.92033333
25,150,1,29.77933333
25,200,1,37.57966667
15,100,2,17.805
20,100,2,22.53633333
25,100,2,35.18533333
15,150,2,37.076
15,200,2,24.85633333
20,150,2,31.52533333
20,200,2,29.83066667
25,150,2,47.68133333
25,200,2,48.12266667
15,100,4,22.052
20,100,4,24.80666667
25,100,4,38.647
15,150,4,20.111
15,200,4,38.345
20,150,4,32.04966667
20,200,4,50.70133333
25,150,4,94.96366667
25,200,4,94.44666667
