GEL,EDC,NHS,d,e,f,Visc
5,6.7,6.7,224.45,18.4,6.133333333,50.35034
6.7,6.7,6.7,300.763,20.1,6.7,20.95292
8.3,6.7,6.7,372.587,21.7,7.233333333,40.0049
5,10,10,500,25,8.333333333,17.47255
5,13.3,13.3,884.45,31.6,10.53333333,21.7498
6.7,10,10,670,26.7,8.9,22.75794
6.7,13.3,13.3,1185.163,33.3,11.1,26.34588
8.3,10,10,830,28.3,9.433333333,31.75944
8.3,13.3,13.3,1468.187,34.9,11.63333333,44.31298
5,13.3,6.7,445.55,25,8.333333333,15.35
6.7,13.3,6.7,597.037,26.7,8.9,23.24584
8.3,13.3,6.7,739.613,28.3,9.433333333,38.62426
5,20,10,1000,35,11.66666667,30.83500774
5,26.7,13.3,1775.55,45,15,31.76214
6.7,20,10,1340,36.7,12.23333333,120.4075
6.7,26.7,13.3,2379.237,46.7,15.56666667,52.38562
8.3,20,10,1660,38.3,12.76666667,47.40204
8.3,26.7,13.3,2947.413,48.3,16.1,49.46092
5,26.7,6.7,894.45,38.4,12.8,48.8708
6.7,26.7,6.7,1198.563,40.1,13.36666667,45.25738
8.3,26.7,6.7,1484.787,41.7,13.9,62.03263
5,40,10,2000,55,18.33333333,21.50265
5,53.3,13.3,3544.45,71.6,23.86666667,42.2387
6.7,40,10,2680,56.7,18.9,52.52034
6.7,53.3,13.3,4749.563,73.3,24.43333333,183.7151
8.3,40,10,3320,58.3,19.43333333,265.5048
8.3,53.3,13.3,5883.787,74.9,24.96666667,122.6954
