GEL,EDC,NHS,d,e,f,Stiff
5,6.7,6.7,224.45,18.4,6.133333333,9.089549386
5,6.7,6.7,224.45,18.4,6.133333333,5.852586129
5,6.7,6.7,224.45,18.4,6.133333333,16.82332476
6.7,6.7,6.7,300.763,20.1,6.7,18.7584113
6.7,6.7,6.7,300.763,20.1,6.7,16.6918672
6.7,6.7,6.7,300.763,20.1,6.7,14.49023182
8.3,6.7,6.7,372.587,21.7,7.233333333,16.95188232
8.3,6.7,6.7,372.587,21.7,7.233333333,14.2819082
8.3,6.7,6.7,372.587,21.7,7.233333333,13.62629222
5,10,10,500,25,8.333333333,12.91341172
5,10,10,500,25,8.333333333,14.62443368
5,10,10,500,25,8.333333333,8.170367576
5,13.3,13.3,884.45,31.6,10.53333333,9.456791309
5,13.3,13.3,884.45,31.6,10.53333333,13.96309653
5,13.3,13.3,884.45,31.6,10.53333333,2.374111647
6.7,10,10,670,26.7,8.9,12.71778993
6.7,10,10,670,26.7,8.9,11.66309447
6.7,10,10,670,26.7,8.9,9.757694295
6.7,13.3,13.3,1185.163,33.3,11.1,4.930154241
6.7,13.3,13.3,1185.163,33.3,11.1,4.495157445
6.7,13.3,13.3,1185.163,33.3,11.1,4.359539128
8.3,10,10,830,28.3,9.433333333,13.06671706
8.3,10,10,830,28.3,9.433333333,11.62314009
8.3,10,10,830,28.3,9.433333333,9.344303349
8.3,13.3,13.3,1468.187,34.9,11.63333333,17.24219473
8.3,13.3,13.3,1468.187,34.9,11.63333333,19.8999083
8.3,13.3,13.3,1468.187,34.9,11.63333333,20.19063065
5,13.3,6.7,445.55,25,8.333333333,12.39804528
5,13.3,6.7,445.55,25,8.333333333,12.0932806
5,13.3,6.7,445.55,25,8.333333333,10.42524736
6.7,13.3,6.7,597.037,26.7,8.9,10.63341184
6.7,13.3,6.7,597.037,26.7,8.9,9.241710517
6.7,13.3,6.7,597.037,26.7,8.9,9.119543223
8.3,13.3,6.7,739.613,28.3,9.433333333,9.326150102
8.3,13.3,6.7,739.613,28.3,9.433333333,11.66876307
8.3,13.3,6.7,739.613,28.3,9.433333333,9.804129764
5,20,10,1000,35,11.66666667,46.85915563
5,20,10,1000,35,11.66666667,41.50597968
5,20,10,1000,35,11.66666667,29.81033664
5,26.7,13.3,1775.55,45,15,7.314430066
5,26.7,13.3,1775.55,45,15,14.35577559
5,26.7,13.3,1775.55,45,15,17.17481127
6.7,20,10,1340,36.7,12.23333333,20.09068476
6.7,20,10,1340,36.7,12.23333333,13.78368305
6.7,20,10,1340,36.7,12.23333333,13.1289489
6.7,26.7,13.3,2379.237,46.7,15.56666667,42.06868751
6.7,26.7,13.3,2379.237,46.7,15.56666667,34.0152531
6.7,26.7,13.3,2379.237,46.7,15.56666667,32.43845758
8.3,20,10,1660,38.3,12.76666667,23.72709434
8.3,20,10,1660,38.3,12.76666667,25.28398856
8.3,20,10,1660,38.3,12.76666667,26.70414722
8.3,26.7,13.3,2947.413,48.3,16.1,46.71383866
8.3,26.7,13.3,2947.413,48.3,16.1,28.94208613
8.3,26.7,13.3,2947.413,48.3,16.1,28.43415114
5,26.7,6.7,894.45,38.4,12.8,54.29051339
5,26.7,6.7,894.45,38.4,12.8,46.38086071
5,26.7,6.7,894.45,38.4,12.8,46.28143007
6.7,26.7,6.7,1198.563,40.1,13.36666667,28.25909123
6.7,26.7,6.7,1198.563,40.1,13.36666667,22.40054566
6.7,26.7,6.7,1198.563,40.1,13.36666667,12.73462462
8.3,26.7,6.7,1484.787,41.7,13.9,31.10171445
8.3,26.7,6.7,1484.787,41.7,13.9,25.29452232
8.3,26.7,6.7,1484.787,41.7,13.9,15.55523693
5,40,10,2000,55,18.33333333,33.53025012
5,40,10,2000,55,18.33333333,24.58001301
5,40,10,2000,55,18.33333333,24.34922116
5,53.3,13.3,3544.45,71.6,23.86666667,50.51936183
5,53.3,13.3,3544.45,71.6,23.86666667,52.93263813
5,53.3,13.3,3544.45,71.6,23.86666667,42.84294745
6.7,40,10,2680,56.7,18.9,57.05650848
6.7,40,10,2680,56.7,18.9,55.67909093
6.7,40,10,2680,56.7,18.9,49.72347192
6.7,53.3,13.3,4749.563,73.3,24.43333333,36.54722801
6.7,53.3,13.3,4749.563,73.3,24.43333333,31.21297663
6.7,53.3,13.3,4749.563,73.3,24.43333333,60.61246311
8.3,40,10,3320,58.3,19.43333333,103.8820284
8.3,40,10,3320,58.3,19.43333333,38.93881853
8.3,40,10,3320,58.3,19.43333333,37.8241927
8.3,53.3,13.3,5883.787,74.9,24.96666667,34.47259355
8.3,53.3,13.3,5883.787,74.9,24.96666667,32.67513944
8.3,53.3,13.3,5883.787,74.9,24.96666667,30.83618763
