Shear Rate [1/s],17.1,17.2,17.3,Avg,SD
0.0139,207.43,303.73,502.54,337.9,122.8770923
0.0193,288.56,179.37,519.97,329.3,142.0021143
0.0268,281.55,182.53,506.56,323.5466667,135.576916
0.0372,243.54,162.69,200.98,202.4033333,33.02221508
0.0517,241.74,184.66,111.37,179.2566667,53.36029256
0.0719,219.41,158.7,102.87,160.3266667,47.59115768
0.0999,180.93,146.03,104.42,143.7933333,31.27509162
0.139,174.61,144.78,86.212,135.2006667,36.71851777
0.193,164.69,133.58,96.057,131.4423333,28.06004735
0.269,143.81,111.77,77.485,111.0216667,27.08223782
0.373,123.53,98.531,68.23,96.76366667,22.61069217
0.518,105.59,82.68,61.092,83.12066667,18.1689046
0.72,91.431,74.669,54.32,73.47333333,15.17407426
1,83.89,68.455,51.149,67.83133333,13.37373023
1.39,83.01,65.731,56.258,68.333,11.07535339
1.93,86.391,61.514,49.374,65.75966667,15.40744055
2.68,61.834,58.751,47.031,55.872,6.376973316
3.73,57.857,57.058,46.294,53.73633333,5.272623909
5.18,55.8,55.278,45.835,52.30433333,4.57947059
7.2,54.338,53.26,45.365,50.98766667,4.00010886
10,51.981,51.523,46.119,49.87433333,2.66199641
13.9,49.447,50.97,44.746,48.38766667,2.649048173
19.3,48.142,50.38,45.607,48.043,1.949826146
26.8,47.077,50.454,45.513,47.68133333,2.061922135
37.3,45.902,50.154,44.866,46.974,2.288030303
51.8,44.498,49.237,44.694,46.143,2.189251166
72,42.826,47.671,43.258,44.585,2.189246902
100,40.944,45.566,41.167,42.559,2.128218191
139,38.572,43.242,38.861,40.225,2.136601195
193,36.317,41.151,37.036,38.168,2.129625476
268,34.764,39.515,35.638,36.639,2.06470353
373,33.613,38.363,34.436,35.47066667,2.072603248
518,32.562,37.451,33.549,34.52066667,2.110873805
720,31.678,36.704,32.572,33.65133333,2.189199143
1000,31.194,36.316,32.142,33.21733333,2.225005968
