Shear Rate [1/s],X5.1,X5.2,X5.3,Avg,SD
0.0139,729.28,0.07966,100.56,276.6398867,322.6828978
0.0193,611.13,20.233,91.253,240.872,263.4124776
0.0268,560.42,7.8329,51.318,206.5236333,250.8714375
0.0372,485.41,14.906,48.724,183.0133333,214.2719803
0.0517,365.52,16.488,40.955,140.9876667,159.0822325
0.0719,294.66,16.781,30.877,114.106,127.8005855
0.0999,244.06,18.379,26.736,96.39166667,104.4730025
0.139,187.85,18.703,24.951,77.168,78.30554778
0.193,153.72,19.737,22.672,65.37633333,62.47989616
0.269,121.21,18.684,21.663,53.85233333,47.64458734
0.373,95.494,19.804,20.148,45.14866667,35.59980361
0.518,76.927,20.459,18.502,38.62933333,27.09232261
0.72,63.63,21.059,16.922,33.87033333,21.11092943
1,54.187,20.058,15.728,29.991,17.20023327
1.39,43.436,19.319,15.795,26.18333333,12.28401466
1.93,36.004,18.757,16.666,23.809,8.665317421
2.68,33.185,18.947,16.017,22.71633333,7.498487018
3.73,29.309,17.983,16.421,21.23766667,5.742808682
5.18,26.371,17.903,16.332,20.202,4.40903852
7.2,24.166,18.034,16.427,19.54233333,3.334599659
10,22.865,18.216,16.17,19.08366667,2.801236671
13.9,22.135,18.043,16.194,18.79066667,2.482354304
19.3,19.96,18.09,16.221,18.09033333,1.526440376
26.8,18.768,18.046,16.13,17.648,1.113122934
37.3,18.451,18.029,16.107,17.529,1.020158158
51.8,18.472,17.942,16.076,17.49666667,1.027600874
72,18.098,17.866,16.041,17.335,0.919885138
100,18.278,17.858,16.001,17.379,0.989364442
139,18.161,17.802,15.989,17.31733333,0.9506392
193,17.562,17.722,15.917,17.067,0.815792049
268,17.326,17.701,15.889,16.972,0.780949422
373,16.877,17.608,15.778,16.75433333,0.752112728
518,16.629,17.543,15.705,16.62566667,0.75036406
720,16.663,17.523,15.668,16.618,0.757968777
1000,16.562,17.527,15.609,16.566,0.78302533
