Shear Rate [1/s],X8.3.1,X8.3.2,X8.3.2.1,Avg,SD
0.00994,280.89,363.84,1927.2,857.3100000000001,757.2840218834675
0.0139,237.32,169.73,1873.0,760.0166666666668,787.4816515252205
0.0193,181.75,126.11,1603.8,637.2199999999999,683.8526277398272
0.0268,132.94,114.13,952.27,399.78,390.74489043364343
0.0372,109.09,94.67,847.3,350.3533333333333,351.44366664121605
0.0517,82.305,73.231,573.48,243.00533333333337,233.71023847253437
0.0719,61.273,63.733,379.14,168.04866666666666,149.2674917864644
0.0999,49.252,50.978,291.48,130.57000000000002,113.7827340270336
0.139,43.215,41.328,189.66,91.401,69.4838758418095
0.193,33.863,34.936,145.79,71.52966666666667,52.511812400216726
0.269,30.659,28.344,108.37,55.791,37.190977732061135
0.373,23.33,23.799,82.265,43.13133333333334,27.67234347784003
0.518,17.632,17.74,57.217,30.863,18.635144270973594
0.72,13.449,12.533,50.329,25.437,17.605274058266367
1.0,14.695,11.104,45.44,23.746333333333336,15.40963335781297
1.39,21.194,15.423,41.294,25.970333333333333,11.08864825946888
1.93,22.994,20.348,32.512,25.284666666666666,5.223414549464321
2.68,17.871,16.969,30.038,21.626,5.959569839062771
3.73,20.129,20.769,27.056,22.65133333333333,3.1255097006550616
5.18,19.257,19.734,25.649,21.546666666666667,2.907316785093927
7.2,18.411,18.907,23.099,20.139,2.102808281005823
10.0,17.892,17.868,22.508,19.422666666666668,2.181682123703838
13.9,18.691,18.79,21.681,19.720666666666663,1.3867540837830228
19.3,18.101,18.282,20.938,19.107,1.2968194425850754
26.8,18.067,18.292,20.647,19.002,1.1668118957226985
37.3,18.109,18.31,20.398,18.938999999999997,1.0349270505692656
51.8,17.992,18.085,20.142,18.739666666666665,0.9923259993010802
72.0,17.964,18.06,19.988,18.670666666666666,0.9323194493067043
100.0,17.992,18.117,20.07,18.726333333333333,0.9514852716790847
139.0,18.001,18.021,19.781,18.601000000000003,0.8344259503794599
193.0,17.938,17.933,19.674,18.514999999999997,0.8195393014777673
268.0,17.972,17.93,19.527,18.476333333333333,0.7431313626958713
373.0,17.87,17.892,19.441,18.401,0.7354458964918261
518.0,17.833,17.878,19.393,18.368,0.7250172411743054
720.0,17.845,17.887,19.418,18.383333333333333,0.7318207127128579
1000.0,17.815,17.883,19.389,18.362333333333336,0.7264935573622716
